"sub","partOfMilitaryConflict","place","result","causalties","date","commander"
"http://dbpedia.org/resource/Battle_of_Tricamarum","http://dbpedia.org/resource/Vandalic_War","http://dbpedia.org/resource/Carthage","Byzantinevictory","Unknown","0533-12-15","http://dbpedia.org/resource/Gelimer"
"http://dbpedia.org/resource/Battle_of_Tricamarum","http://dbpedia.org/resource/Vandalic_War","http://dbpedia.org/resource/Carthage","Byzantinevictory","Unknown","0533-12-15","http://dbpedia.org/resource/Belisarius"
"http://dbpedia.org/resource/Battle_of_Naulochus","http://dbpedia.org/resource/Sicilian_revolt","http://dbpedia.org/resource/Naulochus","Octavian victory","28 ships sunk, 17 fled, the others captured","-036-09-03","http://dbpedia.org/resource/Sextus_Pompey"
"http://dbpedia.org/resource/Battle_of_Naulochus","http://dbpedia.org/resource/Sicilian_revolt","http://dbpedia.org/resource/Naulochus","Octavian victory","28 ships sunk, 17 fled, the others captured","-036-09-03","http://dbpedia.org/resource/Marcus_Vipsanius_Agrippa"
"http://dbpedia.org/resource/Battle_of_Naulochus","http://dbpedia.org/resource/Sicilian_revolt","http://dbpedia.org/resource/Sicily","Octavian victory","28 ships sunk, 17 fled, the others captured","-036-09-03","http://dbpedia.org/resource/Sextus_Pompey"
"http://dbpedia.org/resource/Battle_of_Naulochus","http://dbpedia.org/resource/Sicilian_revolt","http://dbpedia.org/resource/Sicily","Octavian victory","28 ships sunk, 17 fled, the others captured","-036-09-03","http://dbpedia.org/resource/Marcus_Vipsanius_Agrippa"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Actium","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Gaius_Sosius"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Actium","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Marcus_Vipsanius_Agrippa"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Actium","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Marcus_Antonius"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Actium","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Cleopatra_VII"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Actium","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Octavian"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Actium","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Marcus_Lurius"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Actium","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Lucius_Arruntius"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Greece","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Gaius_Sosius"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Greece","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Marcus_Vipsanius_Agrippa"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Greece","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Marcus_Antonius"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Greece","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Cleopatra_VII"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Greece","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Octavian"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Greece","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Marcus_Lurius"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Greece","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Lucius_Arruntius"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Ionian_sea","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Gaius_Sosius"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Ionian_sea","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Marcus_Vipsanius_Agrippa"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Ionian_sea","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Marcus_Antonius"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Ionian_sea","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Cleopatra_VII"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Ionian_sea","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Octavian"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Ionian_sea","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Marcus_Lurius"
"http://dbpedia.org/resource/Battle_of_Actium","http://dbpedia.org/resource/Final_War_of_the_Roman_Republic","http://dbpedia.org/resource/Ionian_sea","Decisive victory for Octavian","About 2,500 killed","-031-09-02","http://dbpedia.org/resource/Lucius_Arruntius"
"http://dbpedia.org/resource/Battle_of_Pharsalus","http://dbpedia.org/resource/Caesar's_Civil_War","http://dbpedia.org/resource/Farsala","Decisive Caesarian victory","~230 (according to Caesar)","-048-08-09","http://dbpedia.org/resource/Julius_Caesar"
